"Onderwerpen_1";"Onderwerpen_2";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"2010";"2011"
"Arbeidsvolume";"Werkzame persoon";"4773 Apotheken";"x 1 000";"17.6";"18.2"
"Arbeidsvolume";"Werkzame persoon";"4774 Drogisten, orthopedische winkels";"x 1 000";"16.3";"16.0"
"Arbeidsvolume";"Werkzame persoon";"4775 Winkels in parfums en cosmetica";"x 1 000";"3.4";"3.6"
"Arbeidsvolume";"Werkzame persoon";"4776 Bloemen-, dierenwinkels, tuincentra";"x 1 000";"21.8";"21.7"
"Arbeidsvolume";"Werkzame persoon";"4777 Juweliers";"x 1 000";"5.7";"5.8"
"Arbeidsvolume";"Werkzame persoon";"478 Markthandel";"x 1 000";"15.6";"15.5"
"Arbeidsvolume";"Werkzame persoon";"479 Detailhandel, geen winkel of markt";"x 1 000";"26.3";"25.9"
"Arbeidsvolume";"Werkzame persoon";"4791 Postorderbedrijven, internetwinkels";"x 1 000";".";"20.8"
"Arbeidsvolume";"Werkzame persoon";"H+J Vervoer, informatie en communicatie";"x 1 000";".";"."
"Arbeidsvolume";"Werkzame persoon";"H Vervoer en opslag";"x 1 000";"379.6";"388.4"
"Arbeidsvolume";"Werkzame persoon";"49 Vervoer over land";"x 1 000";"188.9";"194.5"
"Arbeidsvolume";"Werkzame persoon";"491-492 Vervoer per spoor";"x 1 000";"x";"11.5"
"Arbeidsvolume";"Werkzame persoon";"493 Personenvervoer over de weg";"x 1 000";"61.6";"61.6"
"Arbeidsvolume";"Werkzame persoon";"4932 Vervoer per taxi";"x 1 000";"30.2";"31.4"
"Arbeidsvolume";"Werkzame persoon";"494 Goederenvervoer over de weg";"x 1 000";"115.3";"121.1"
"Arbeidsvolume";"Werkzame persoon";"4941 Goederenwegvervoer (geen verhuis-)";"x 1 000";"111.3";"116.8"
"Arbeidsvolume";"Werkzame persoon";"4942 Verhuisvervoer";"x 1 000";"4.0";"4.3"
"Arbeidsvolume";"Werkzame persoon";"50 Vervoer over water";"x 1 000";"28.8";"30.8"
"Arbeidsvolume";"Werkzame persoon";"501-502 Zee- en kustvaart";"x 1 000";".";"."
"Arbeidsvolume";"Werkzame persoon";"503-504 Binnenvaart";"x 1 000";"14.1";"15.1"
"Arbeidsvolume";"Werkzame persoon";"51 Vervoer door de lucht";"x 1 000";"25.0";"23.3"
"Arbeidsvolume";"Werkzame persoon";"52 Opslag, dienstverlening voor vervoer";"x 1 000";"86.2";"90.1"
"Arbeidsvolume";"Werkzame persoon";"521 Opslag";"x 1 000";"17.5";"18.6"
"Arbeidsvolume";"Werkzame persoon";"522 Dienstverlening voor vervoer";"x 1 000";"68.7";"71.5"
"Arbeidsvolume";"Werkzame persoon";"5221 Dienstverlening voor landvervoer";"x 1 000";"7.7";"7.8"
"Arbeidsvolume";"Werkzame persoon";"5222 Dienstverlening voor de scheepvaart";"x 1 000";"4.2";"4.3"
"Arbeidsvolume";"Werkzame persoon";"5223 Dienstverlening voor de luchtvaart";"x 1 000";"5.4";"5.5"
"Arbeidsvolume";"Werkzame persoon";"5224 Laad-, los- en overslagbedrijven";"x 1 000";"11.1";"12.0"
