"Subjects_1";"Subjects_2";"Sector/branches (SIC 2008)";"Periods";"2010";"2011"
"Labour volume persons employed";"Employed person";"4675 Wholesale of chemical products";"x 1 000";"9.7";"8.9"
"Labour volume persons employed";"Employed person";"4677 Wholesale of waste and scrap";"x 1 000";"7.3";"7.2"
"Labour volume persons employed";"Employed person";"469 Non-specialised wholesale ";"x 1 000";"9.3";"10.0"
"Labour volume persons employed";"Employed person";"47 Retail trade (not in motor vehicles)";"x 1 000";"504.2";"505.4"
"Labour volume persons employed";"Employed person";"471 Non-specialised retail sales.";"x 1 000";"127.8";"127.9"
"Labour volume persons employed";"Employed person";"4719, 474-477Shops in Non-food";"x 1 000";".";"303.8"
"Labour volume persons employed";"Employed person";"4711 Supermarkets and similar stores";"x 1 000";"111.0";"111.1"
"Labour volume persons employed";"Employed person";"4711, 472 Shops in food";"x 1 000";".";"149.4"
"Labour volume persons employed";"Employed person";"4719 Department stores";"x 1 000";"16.7";"16.8"
"Labour volume persons employed";"Employed person";"472 Specialised shops selling food";"x 1 000";"38.7";"38.3"
"Labour volume persons employed";"Employed person";"473 Petrol stations";"x 1 000";"10.5";"10.8"
"Labour volume persons employed";"Employed person";"474 Shops selling consumer electronics";"x 1 000";"17.4";"15.7"
"Labour volume persons employed";"Employed person";"4743 Shops for brown and white goods";"x 1 000";"11.4";"10.0"
"Labour volume persons employed";"Employed person";"475 Shops for other household equipment";"x 1 000";"70.6";"72.0"
"Labour volume persons employed";"Employed person";"4751 Shops selling textiles and wool";"x 1 000";"1.3";"1.2"
"Labour volume persons employed";"Employed person";"4752 Shops for do-it-yourself articles";"x 1 000";"28.6";"28.5"
"Labour volume persons employed";"Employed person";"4753 Shops for floor coverings, curtains";"x 1 000";"4.5";"4.3"
"Labour volume persons employed";"Employed person";"4754 Shops for electr. household goods ";"x 1 000";"1.6";"2.2"
"Labour volume persons employed";"Employed person";"4759 Shops for other household articles";"x 1 000";"34.6";"35.8"
"Labour volume persons employed";"Employed person";"476 Shops selling recreation goods";"x 1 000";"28.7";"28.8"
"Labour volume persons employed";"Employed person";"4764 Shops for sports and camping goods";"x 1 000";"14.7";"14.9"
"Labour volume persons employed";"Employed person";"4765 Shops selling toys";"x 1 000";"4.8";"4.8"
"Labour volume persons employed";"Employed person";"477 Shops selling other goods";"x 1 000";"168.8";"170.6"
"Labour volume persons employed";"Employed person";"4771 Shops selling clothing";"x 1 000";"65.0";"65.9"
"Labour volume persons employed";"Employed person";"4772 Shops for footwear, leather goods";"x 1 000";"15.3";"15.6"
"Labour volume persons employed";"Employed person";"4773 Dispensing chemists";"x 1 000";"17.6";"18.2"
"Labour volume persons employed";"Employed person";"4774 Drugstores, shops for medical goods";"x 1 000";"16.3";"16.0"
"Labour volume persons employed";"Employed person";"4775 Shops for perfumes, cosmetic goods";"x 1 000";"3.4";"3.6"
"Labour volume persons employed";"Employed person";"4776 Shops for flowers, plants and pets";"x 1 000";"21.8";"21.7"
"Labour volume persons employed";"Employed person";"4777 Shops selling jewellery and watches";"x 1 000";"5.7";"5.8"
"Labour volume persons employed";"Employed person";"478 Market sale";"x 1 000";"15.6";"15.5"
"Labour volume persons employed";"Employed person";"479 Retail sale not via store or market";"x 1 000";"26.3";"25.9"
"Labour volume persons employed";"Employed person";"4791 Retail sale via internet";"x 1 000";".";"20.8"
"Labour volume persons employed";"Employed person";"H+J Transport, ICT";"x 1 000";".";"."
"Labour volume persons employed";"Employed person";"H Transportation and storage";"x 1 000";"379.6";"388.4"
"Labour volume persons employed";"Employed person";"49 Land transport ";"x 1 000";"188.9";"194.5"
"Labour volume persons employed";"Employed person";"491-492 Rail transport";"x 1 000";"x";"11.5"
"Labour volume persons employed";"Employed person";"493 Passenger transport by road";"x 1 000";"61.6";"61.6"
"Labour volume persons employed";"Employed person";"4932 Taxi operation";"x 1 000";"30.2";"31.4"
"Labour volume persons employed";"Employed person";"494 Freight transport by road";"x 1 000";"115.3";"121.1"
"Labour volume persons employed";"Employed person";"4941 Freight road transport, no removals";"x 1 000";"111.3";"116.8"
"Labour volume persons employed";"Employed person";"4942 Removal services";"x 1 000";"4.0";"4.3"
"Labour volume persons employed";"Employed person";"50 Water transport ";"x 1 000";"28.8";"30.8"
"Labour volume persons employed";"Employed person";"501-502 Sea water transport";"x 1 000";".";"."
"Labour volume persons employed";"Employed person";"503-504 Inland water transport";"x 1 000";"14.1";"15.1"
"Labour volume persons employed";"Employed person";"51 Air transport ";"x 1 000";"25.0";"23.3"
"Labour volume persons employed";"Employed person";"52 Warehousing, services for transport";"x 1 000";"86.2";"90.1"
"Labour volume persons employed";"Employed person";"521 Warehousing and storage";"x 1 000";"17.5";"18.6"
"Labour volume persons employed";"Employed person";"522 Services activities for transport";"x 1 000";"68.7";"71.5"
"Labour volume persons employed";"Employed person";"5221 Services for land transport";"x 1 000";"7.7";"7.8"
"Labour volume persons employed";"Employed person";"5222 Services for water transport";"x 1 000";"4.2";"4.3"
"Labour volume persons employed";"Employed person";"5223 Services for air transport";"x 1 000";"5.4";"5.5"
"Labour volume persons employed";"Employed person";"5224 Cargo handling";"x 1 000";"11.1";"12.0"
"Labour volume persons employed";"Employed person";"5229 Agents for transport and weighing";"x 1 000";"40.3";"41.8"
"Labour volume persons employed";"Employed person";"53 Postal and courier activities";"x 1 000";"50.7";"49.8"
"Labour volume persons employed";"Employed person";"Hotels, restaurants and bars";"x 1 000";"192.1";"201.2"
"Labour volume persons employed";"Employed person";"I Accommodation and food serving";"x 1 000";"239.1";"249.6"
"Labour volume persons employed";"Employed person";"55 Accommodation";"x 1 000";"52.3";"54.9"
"Labour volume persons employed";"Employed person";"551 Hotels and similar accommodation";"x 1 000";"36.6";"39.4"
"Labour volume persons employed";"Employed person";"56 Food and beverage service activities";"x 1 000";"186.9";"194.8"
"Labour volume persons employed";"Employed person";"561 Restaurants ";"x 1 000";"115.1";"119.3"
"Labour volume persons employed";"Employed person";"56101 Restaurants";"x 1 000";"74.2";"76.8"
"Labour volume persons employed";"Employed person";"56102-56103 Snackbars, icecream parlours";"x 1 000";"40.8";"42.5"
"Labour volume persons employed";"Employed person";"562 Canteens and catering";"x 1 000";"31.3";"33.0"
"Labour volume persons employed";"Employed person";"563 Bars";"x 1 000";"40.5";"42.5"
"Labour volume persons employed";"Employed person";"J Information and communication";"x 1 000";"259.2";"263.9"
"Labour volume persons employed";"Employed person";"58-60 Publishing, movie, radio and  TV";"x 1 000";"54.5";"54.3"
"Labour volume persons employed";"Employed person";"58 Publishing ";"x 1 000";"29.8";"28.8"
"Labour volume persons employed";"Employed person";"59 Film, TV and music production etc";"x 1 000";"16.6";"17.4"
"Labour volume persons employed";"Employed person";"60 Programming and broadcasting";"x 1 000";"8.1";"8.1"
